fcode,year,month,obs_dengue_cases,population,area,ws_avg,ws_min,ws_max,t2m_avg,t2m_min,t2m_max,rh_avg,rh_min,rh_max,tp_accum,l1_code,l1_name
TTYTKV_KIEN_LUONG_KG,2021,9,0,87746,431.21999999999997,2.2903744749999997,1.244512333,3.8199714966666667,299.44232800000003,297.385331,303.0314776666666,87.2521654,71.32406866666669,96.08480956666666,0.3767264697,91,
TTYTKV_KIEN_LUONG_KG,2021,10,0,87746,431.21999999999997,2.0988233290322578,1.0674166438709678,3.589316696774193,299.5267638709678,297.3311909677419,303.11890483870974,87.36325325806452,71.04541132258063,96.57851467741935,0.4889265168,91,
TTYTKV_KIEN_LUONG_KG,2021,11,0,87746,431.21999999999997,2.2508578150000003,1.2428161776666669,3.5588804633333333,298.84327966666666,296.9722143333333,301.9831006666666,88.8549989,75.2147679,96.42216913333333,0.5130801629000001,91,
TTYTKV_KIEN_LUONG_KG,2021,12,1,87746,431.21999999999997,2.254091787096774,1.0367350058064515,3.805465664516129,298.7263258064516,295.42962870967733,302.41147419354843,78.28229177419354,62.06445912903225,92.66833245161293,0.07266023219390001,91,
TTYTKV_KIEN_LUONG_KG,2022,1,2,87746,431.21999999999997,2.287948032258065,1.2447412880645161,3.367358954838709,299.4994135483871,295.5918548387096,304.118925483871,72.94474225806451,51.071928129032266,93.1102647419355,0.0164456337343,91,
TTYTKV_KIEN_LUONG_KG,2022,2,0,87746,431.21999999999997,3.2687386214285716,1.8809434903571431,4.911625742857143,300.6685342857143,297.2930689285714,305.2355407142858,71.26714760714286,51.29914542857142,88.72654921428571,0.05049476924299999,91,
TTYTKV_KIEN_LUONG_KG,2022,3,0,87746,431.21999999999997,2.159304276774194,0.9128560980645162,3.447536838709678,300.9295632258065,297.5172587096774,305.69252225806457,76.27155316129033,54.42344174193549,94.02661296774195,0.178739129552,91,
TTYTKV_KIEN_LUONG_KG,2022,4,1,87746,431.21999999999997,1.6902769699999998,0.6530815440000001,2.8982670666666674,300.1993396666667,297.40574,304.2987866666667,84.26883126666668,66.0792932,96.8539918,0.28154849260000003,91,
TTYTKV_KIEN_LUONG_KG,2022,5,8,87746,431.21999999999997,2.172308629032258,1.2196287893548385,3.487321161290323,300.2187519354838,298.1402970967742,303.7055467741935,87.73797274193551,73.38899338709678,96.2715753548387,0.49185787989999996,91,
TTYTKV_KIEN_LUONG_KG,2022,6,13,87746,431.21999999999997,2.0512107766666663,1.0553827933333335,3.4628011066666673,300.2051963333333,297.7724740000001,303.9930596666667,86.11880183333331,70.54081116666667,96.44862933333333,0.38688242250000004,91,
TTYTKV_KIEN_LUONG_KG,2022,7,31,87746,431.21999999999997,2.5575061419354843,1.4279175487096774,3.9832155322580642,299.77139709677414,297.65611967741944,303.05359516129033,87.26656754838712,73.0852562580645,96.21264022580644,0.4731838405,91,
TTYTKV_KIEN_LUONG_KG,2022,8,36,87746,431.21999999999997,2.255919924516129,1.1731644977419355,3.834479951612904,299.84781387096774,297.57612,303.4339,86.54244838709675,70.56059012903224,96.45690116129032,0.3275407547000001,91,
